,group_name,subgroup_name,project_name,annotator_name,pmcid,start_char,end_char,diagnosis,count,male count,age mean,female count,age minimum,age maximum,age median
77,healthy,_,participant_demographics,Jerome_Dockes,2144768,[],[],,18,9.0,23.67,9.0,19.0,35.0,
308,healthy,_,participant_demographics,Jerome_Dockes,2151069,[],[],,12,6.0,25.4,6.0,20.0,40.0,
49,healthy,_,participant_demographics,Jerome_Dockes,2390848,[],[],,15,8.0,,7.0,,,
229,patients,_,participant_demographics,Jerome_Dockes,2494616,[],[],phantom limb pain,13,11.0,52.92,2.0,32.0,75.0,
42,healthy,_,participant_demographics,Jerome_Dockes,2525845,[],[],,24,12.0,,12.0,,,
11,healthy,rh,participant_demographics,Jerome_Dockes,2561002,[],[],,19,7.0,24.7,12.0,19.0,30.0,
12,healthy,lh,participant_demographics,Jerome_Dockes,2561002,[],[],,15,5.0,26.1,10.0,21.0,35.0,
213,patients,_,participant_demographics,Jerome_Dockes,2648877,[],[],Autism Spectrum Disorder,15,12.0,38.0,3.0,,,
214,healthy,_,participant_demographics,Jerome_Dockes,2648877,[],[],,18,13.0,32.0,5.0,,,
269,healthy,_,participant_demographics,Jerome_Dockes,2748718,[],[],,30,14.0,,16.0,,,
56,healthy,_,participant_demographics,Jerome_Dockes,2775905,[],[],,18,,26.7,,18.0,60.0,22.5
82,healthy,_,participant_demographics,Jerome_Dockes,2935390,[],[],,10,3.0,39.8,7.0,18.0,50.0,
370,healthy,_,participant_demographics,Jerome_Dockes,2993660,[],[],,48,24.0,26.4,24.0,,,
143,healthy,experiment 1,participant_demographics,Jerome_Dockes,2995581,[],[],,12,,,,,,
144,healthy,experiment 2,participant_demographics,Jerome_Dockes,2995581,[],[],,18,,,,,,
7,healthy,phobic prone,participant_demographics,Jerome_Dockes,3002948,[],[],,15,9.0,39.2,6.0,,,
8,healthy,eating disorders prone,participant_demographics,Jerome_Dockes,3002948,[],[],,15,10.0,34.4,5.0,,,
320,patients,_,participant_demographics,Jerome_Dockes,3045463,[],[],idiopathic Parkinson's Disease,21,14.0,,7.0,,,
321,healthy,_,participant_demographics,Jerome_Dockes,3045463,[],[],,19,12.0,,7.0,,,
170,healthy,_,participant_demographics,Jerome_Dockes,3078751,[],[],,14,6.0,24.8,8.0,22.0,29.0,
361,healthy,_,participant_demographics,Jerome_Dockes,3132672,[],[],,11,5.0,31.0,6.0,25.0,38.0,
55,healthy,_,participant_demographics,Jerome_Dockes,3147157,[],[],,20,12.0,24.4,8.0,,,
