table_id,table_label,table_caption,table_number,x,y,z,p_value,region,size,statistic,groups
tbl0001,Table 1,,,32.0,20.0,-6.0,,,,,
tbl0001,Table 1,,,-26.0,22.0,-10.0,,,,,
tbl0001,Table 1,,,2.0,16.0,48.0,,,,,
tbl0001,Table 1,,,-10.0,16.0,-2.0,,,,,
tbl0001,Table 1,,,-18.0,-74.0,30.0,,,,,
tbl0001,Table 1,,,-48.0,26.0,30.0,,,,,
tbl0001,Table 1,,,-48.0,2.0,46.0,,,,,
tbl0001,Table 1,,,-32.0,-2.0,-10.0,,,,,
tbl0001,Table 1,,,32.0,20.0,-6.0,,,,,
tbl0001,Table 1,,,-26.0,22.0,-10.0,,,,,
tbl0001,Table 1,,,2.0,16.0,48.0,,,,,
tbl0001,Table 1,,,-10.0,16.0,-2.0,,,,,
tbl0001,Table 1,,,-18.0,-74.0,30.0,,,,,
tbl0001,Table 1,,,-48.0,26.0,30.0,,,,,
tbl0001,Table 1,,,-48.0,2.0,46.0,,,,,
tbl0001,Table 1,,,-32.0,-2.0,-10.0,,,,,
tbl0001,Table 1,,,32.0,20.0,-6.0,,,,,
tbl0001,Table 1,,,-26.0,22.0,-10.0,,,,,
tbl0001,Table 1,,,2.0,16.0,48.0,,,,,
tbl0001,Table 1,,,-10.0,16.0,-2.0,,,,,
tbl0001,Table 1,,,-18.0,-74.0,30.0,,,,,
tbl0001,Table 1,,,-48.0,26.0,30.0,,,,,
tbl0001,Table 1,,,-48.0,2.0,46.0,,,,,
tbl0001,Table 1,,,-32.0,-2.0,-10.0,,,,,
