Region,Size (μl),t score,Coordinates,Coordinates,Coordinates
Region,Size (μl),t score,x,y,z
Right Heschl’s gyrus,"5,224",5.22,48,−20,10
Right Heschl’s gyrus,,4.99,40,−26,16
Right superior temporal sulcus,,4.18,60,−30,0
Right superior temporal gyrus,,4.08,68,−26,8
Right superior temporal gyrus,,3.79,56,−8,4
Right superior temporal gyrus,,3.62,48,−34,10
Left Heschl’s gyrus,"4,600",4.92,−36,−30,14
Left superior temporal gyrus,,4.17,−64,−18,8
Left superior temporal gyrus,,3.78,−62,−32,14
Left superior temporal gyrus,,3.66,−60,−18,−4
Left Heschl’s gyrus,,3.47,−46,−24,6
Left superior temporal gyrus,,3.29,−62,−38,8
Left superior temporal gyrus,,3.19,−52,−16,2
Left postcentral gyrus,"4,248",5.26,−50,−14,44
Left postcentral gyrus,,5.21,−46,−16,42
Left postcentral gyrus,,5.12,−42,−18,40
Left postcentral gyrus,,3.88,−54,−8,28
