Region,Size (μl),t score,Coordinates,Coordinates,Coordinates
Region,Size (μl),t score,x,y,z
Left postcentral gyrus,"278,528",10.1,−44,−14,34
Supplemental motor area,,9.49,−2,4,56
Right postcentral gyrus,,9.35,42,−12,36
Left postcentral gyrus,,9.26,−56,−4,24
Right superior temporal gyrus,,9.19,64,−18,0
Right postcentral gyrus,,8.14,56,−4,28
Left superior temporal gyrus,,8.01,−60,−14,2
Left superior temporal gyrus,,7.84,−44,−22,10
Left superior parietal cortex,,7.68,−26,−66,52
Left inferior frontal gyrus,,7.51,−44,8,26
Left superior temporal gyrus,,7.39,−62,−28,4
Left precentral gyrus,,6.87,20,−28,60
Right insula,,6.76,32,26,0
Right putamen,,6.72,18,16,0
Left insula,,6.48,−30,24,4
Left postcentral,,6.44,−18,−30,58
Left caudate,,6.44,−16,14,8
Right insula,,6.32,36,18,8
Left inferior parietal cortex,,6.25,−46,−32,40
Fornix,,5.97,6,0,6
Left thalamus,"3,784",4.13,−12,−18,0
Superior cerebellar pedunculus,,3.98,0,−24,2
Left superior cerebellar pedunculus,,3.6,−4,−28,−14
Right superior cerebellar pedunculus,,3.56,2,−14,−8
Right thalamus,,3.41,12,−20,2
Right thalamus,,3.35,16,−18,−2
Left superior cerebellar pedunculus,,3.33,−6,−34,−2
Right thalamus,,3.3,14,−18,8
Left superior cerebellar pedunculus,,3.04,−10,−34,−20
