Region,Size (μl),t score,Coordinates,Coordinates,Coordinates
Region,Size (μl),t score,x,y,z
Left postcentral gyrus,"311,408",13.8,−44,−14,36
Right postcentral gyrus,,13.8,44,−12,36
Left putamen,,10.4,−24,0,4
Supplemental motor area,,9.97,0,−2,60
Right postcentral gyrus,,9.81,20,−28,60
Left Heschl’s gyrus,,9.36,−36,−32,14
Right superior temporal gyrus,,9.11,46,−20,8
Left postcentral gyrus,,9.06,−18,−30,60
Right Heschl’s gyrus,,8.96,38,−26,14
Right putamen,,8.91,28,0,−4
Left insula,,7.16,−32,20,8
Left inferior frontal gyrus,,7.13,−46,8,20
Right insula,,7.11,34,22,4
Left superior temporal sulcus,,6.23,−52,−42,6
Anterior cingulate,,6.0,−8,12,38
Right superior temporal gyrus,,5.61,64,−24,4
Left inferior parietal cortex,,5.6,−38,−36,42
Right calcarine sulcus,,5.47,18,−66,8
Right cerebellum,,5.31,24,−60,−22
