Region,Size (μl),t score,Coordinates,Coordinates,Coordinates
Region,Size (μl),t score,x,y,z
Left postcentral gyrus,"238,712",10.21,−44,−14,34
Right postcentral gyrus,,9.04,42,−12,36
Supplemental motor area,,7.56,−2,2,56
Right postcentral gyrus,,7.43,54,−4,26
Left Heschl’s gyrus,,6.45,−42,−24,10
Left superior parietal cortex,,6.43,−28,−64,54
Left postcentral gyrus,,6.03,−18,−30,60
Right precentral gyrus,,6.02,20,−28,60
Left precentral gyrus,,6.0,−46,2,38
Right putamen,,5.88,20,16,0
Right caudate,,5.84,18,14,6
Right insula,,5.73,34,28,0
Left inferior parietal cortex,,5.69,−44,−32,40
Anterior cingulate,,5.49,−6,14,42
Left postcentral gyrus,,5.44,−26,−40,62
Left insula,,5.38,−46,14,−2
Right superior parietal cortex,,5.29,18,−68,56
Left insula,,5.28,−32,24,4
Left caudate,,5.16,−14,14,8
Left precentral gyrus,,5.13,−32,−2,64
Right superior temporal gyrus,"4,632",4.12,58,−22,0
Right Heschl’s gyrus,,4.11,34,−24,4
Right superior temporal gyrus,,4.1,64,−16,0
Right superior temporal gyrus,,4.09,52,−16,4
Right posterior insula,,3.14,32,−24,16
