Region,Size (μl),t score,Coordinates,Coordinates,Coordinates
Region,Size (μl),t score,x,y,z
Left superior temporal gyrus,"38,936",13.6,−62,−16,6
Left inferior frontal gyrus,,5.44,−52,12,20
Left inferior frontal gyrus,,5.08,−38,28,0
Left inferior frontal gyrus,,5.0,−50,20,−6
Left inferior frontal gyrus,,4.75,−52,28,16
Left insula,,4.08,−30,24,−4
Left inferior frontal gyrus,,3.89,−34,32,−14
Left inferior frontal gyrus,,3.7,−38,26,−14
Left precentral gyrus,,3.46,−60,2,26
Right superior temporal gyrus,"23,432",12.4,60,−8,4
Right superior temporal gyrus,,10.2,66,−18,0
Right superior temporal gyrus,,4.07,48,12,−12
Supplemental motor area,"9,144",5.39,−2,6,56
Supplemental motor area,,4.33,0,−4,64
Supplemental motor area,,4.01,−8,0,76
Left paracentral lobule,,3.93,−4,−28,78
Left paracentral lobule,,3.84,−4,−16,80
Left postcentral gyrus,,3.61,−18,−28,76
Supplemental motor area,,3.6,0,8,72
