Localization,Talairach coordinates,Talairach coordinates,Talairach coordinates,"z-values, local maxima"
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1
Superior frontal gyrus (SFG)/pre-SMA (BA 8/6),−2,21,48,5.8
,4,36,27,5.6
Middle frontal gyrus (MFG; BA 8/9),−41,15,39,5.1
,37,15,36,4.8
,37,33,27,5.0
"Dorsolateral prefrontal cortex (dlPFC), BA 10",31,54,18,4.8
,−26,48,6,4.9
Dorsal anterior insula,−32,21,3,5.8
,28,18,−3,6.0
Angular Gyrus (AG),−56,−45,36,4.9
Inferior parietal lobule (LPI),34,−51,45,5.3
,−53,−51,39,4.8
Intraparietal sulcus (IPS),−41,−36,39,5.6
,52,−45,33,5.1
Posterior cingulate cortex (BA 23),−2,−21,33,3.6
,7,−33,30,3.7
Posterior superior temporal sulcus (pSTS),49,−36,0,4.6
Temporal-parietal junction (TPJ),−50,−48,12,3.6
,,,,
Precuneus,−5,−66,42,4.7
Basomedial head of caudate nucleus (CAU),−11,6,6,5.7
,10,9,9,5.4
Medial globus pallidus (GPi),13,0,3,5.8
Habenula,1,−27,3,5.4
"Thalamus, ventrolateral nucleus (VL)",−14,−15,3,5.0
,−14,−12,12,4.7
Nucleus ruber,−8,−27,−6,4.8
,4,−27,−6,5.0
Cerebellum,16,−48,−15,4.0
,−17,−81,−21,4.9
,28,−54,−24,4.4
,−32,−60,−24,5.0
