Localization,Talairach coordinates,Talairach coordinates.1,Talairach coordinates.2,"z-values, local maxima"
,x,y,z,
Dorsal premotor cortex (PMd),−20,−6,51,4.4
Ventral premotor cortex (PMv),−53,6,33,4.1
Middle frontal gyrus (MFG),43,24,39,3.9
"Superior frontal gyrus (SFG), BA 8",−8,27,36,3.7
Presupplementary motor area (pre-SMA),−5,9,48,4.8
Superior parietal lobule (SPL),22,−57,63,4.0
,−26,−51,57,3.9
Intraparietal sulcus (IPS),−50,−27,33,4.4
,34,−30,42,4.0
,25,−63,42,3.9
Posterior middle temporal gyrus (pMTG),40,−57,6,4.8
,−53,−69,3,5.1
,−44,−51,−9,3.7
Precuneus,7,−51,57,3.9
Lingual gyrus,13,−96,−12,3.6
