Localization,Talairach coordinates,Talairach coordinates,Talairach coordinates,"z-values, local maxima"
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1
Superior frontal gyrus (SFG)/pre-SMA (BA 8/6),−2,21,45,5.8
,4,36,27,5.6
Middle frontal gyrus (MFG; BA 8/9),−41,15,39,5.1
,37,9,30,4.9
,34,33,30,5.3
"Dorsolateral prefrontal cortex (dlPFC), BA 10",31,54,18,4.7
,−26,48,6,4.9
Dorsal anterior insula,−32,21,0,5.9
,28,18,0,6.2
Angular gyrus (AG),−56,−45,36,4.9
Inferior parietal lobule (LPI),34,−51,45,5.3
,−53,−51,39,4.8
Intraparietal sulcus (IPS),−41,−36,39,5.6
,52,−45,33,5.1
Posterior cingulate cortex (BA 23),−5,−21,30,3.5
,7,−33,30,3.9
Posterior superior temporal sulcus (pSTS),49,−36,0,4.5
Temporal-parietal junction (TPJ),−50,−48,12,3.9
Precuneus,−8,−66,45,5.1
Basomedial head of caudate nucleus (CAU),−11,6,6,5.6
,10,9,9,5.4
Medial globus pallidus (GPi),13,0,3,5.7
Habenula,1,−27,3,5.7
"Thalamus, ventrolateral nucleus (VL)",−14,−15,3,5.4
,−14,−12,12,4.7
Nucleus ruber,−8,−27,−6,4.9
,4,−27,−6,5.1
Cerebellum,16,−48,−15,4.1
,−17,−84,−21,4.9
,28,−54,−24,4.6
,−32,−60,−24,5.0
