Anatomical location,"Peak voxel x, y, z",t-values,Cluster size
FEMALE LISTENERS,FEMALE LISTENERS,FEMALE LISTENERS,FEMALE LISTENERS
Left/Right hemisphere,Left/Right hemisphere,Left/Right hemisphere,Left/Right hemisphere
"Left STG, middle","−57, −16, −2",20.85,3923
"Right STG, middle","60, −13, −2",20.64,
"Right STG, middle","63, −22, −2",20.11,
Left frontal hemisphere,Left frontal hemisphere,Left frontal hemisphere,Left frontal hemisphere
IFG (pars triangularis),"−48, 17, 22",9.25,178
IFG (pars triangularis),"−39, 29, −2",8.79,103
Precentral gyrus,"−48, −7, 43",6.32,5
Right frontal hemisphere,Right frontal hemisphere,Right frontal hemisphere,Right frontal hemisphere
IFG (orbital),"48, 17, −8",4.87,1
MALE LISTENERS,MALE LISTENERS,MALE LISTENERS,MALE LISTENERS
Left hemisphere,Left hemisphere,Left hemisphere,Left hemisphere
"STG, middle","−60, −22, 1",18.15,796
"STG, middle","−57, −13, −2",17.97,
"STG, posterior","−60, −37, 4",12.73,
IFG (pars triangularis),"−42, 29, −2",7.96,40
IFG (pars triangularis),"−42, 17, 22",5.56,32
Hippocampus,"−18, −10, −14",4.61,1
Right hemisphere,Right hemisphere,Right hemisphere,Right hemisphere
"STG, middle","60, −10, −2",17.40,812
"STG, middle","63, −22, −2",17.11,
"STG, anterior","54, 5, −14",11.51,
IFG (pars triangularis),"42, 32, −2",6.76,165
IFG (pars triangularis),"54, 23, 22",6.62,
IFG (pars triangularis),"45, 17, 22",6.51,
Precentral gyrus,"51, −1, 46",7.60,22
